,Actual,Naive_Forecast,Residuals
2024-02-29,199.1847992231863,197.71809144784228,1.4667077753440196
2024-03-31,218.94092792266278,199.1847992231863,19.756128699476477
2024-04-30,220.07458859791842,218.94092792266278,1.1336606752556406
2024-05-31,217.93589807415896,220.07458859791842,-2.1386905237594647
2024-06-30,219.05838144420434,217.93589807415896,1.1224833700453871
2024-07-31,213.15499761247978,219.05838144420434,-5.903383831724568
2024-08-31,204.65640059558098,213.15499761247978,-8.498597016898799
2024-09-30,190.48340430819806,204.65640059558098,-14.172996287382915
2024-10-31,192.4539381207439,190.48340430819806,1.9705338125458525
2024-11-30,200.33580908132905,192.4539381207439,7.8818709605851325
2024-12-31,212.8777256356118,200.33580908132905,12.54191655428275
